lemma,freq,freq_class,rank,prop,cum_sum_prop
å avvikle,9,7,108,3.441945846718678e-4,0.8573504665748815
å beklage,9,7,108,3.441945846718678e-4,0.8576946611595533
å bestille,9,7,108,3.441945846718678e-4,0.8580388557442252
å blande,9,7,108,3.441945846718678e-4,0.8583830503288971
å dempe,9,7,108,3.441945846718678e-4,0.8587272449135689
å drøfte,9,7,108,3.441945846718678e-4,0.8590714394982408
å droppe,9,7,108,3.441945846718678e-4,0.8594156340829127
å engasjere,9,7,108,3.441945846718678e-4,0.8597598286675845
å fastsette,9,7,108,3.441945846718678e-4,0.8601040232522564
å fikse,9,7,108,3.441945846718678e-4,0.8604482178369283
å forbedre,9,7,108,3.441945846718678e-4,0.8607924124216001
å forbinde,9,7,108,3.441945846718678e-4,0.861136607006272
å fornye,9,7,108,3.441945846718678e-4,0.8614808015909439
å fullføre,9,7,108,3.441945846718678e-4,0.8618249961756157
å hende,9,7,108,3.441945846718678e-4,0.8621691907602876
å henvise,9,7,108,3.441945846718678e-4,0.8625133853449595
å hoppe,9,7,108,3.441945846718678e-4,0.8628575799296313
å iverksette,9,7,108,3.441945846718678e-4,0.8632017745143032
å juble,9,7,108,3.441945846718678e-4,0.8635459690989751
å kombinere,9,7,108,3.441945846718678e-4,0.8638901636836469
å konkurrere,9,7,108,3.441945846718678e-4,0.8642343582683188
å konsentrere,9,7,108,3.441945846718678e-4,0.8645785528529907
å kutte,9,7,108,3.441945846718678e-4,0.8649227474376625
å låne,9,7,108,3.441945846718678e-4,0.8652669420223345
å laste,9,7,108,3.441945846718678e-4,0.8656111366070063
å ligne,9,7,108,3.441945846718678e-4,0.8659553311916781
å markere,9,7,108,3.441945846718678e-4,0.86629952577635
å oppleves,9,7,108,3.441945846718678e-4,0.8666437203610219
å oppnevne,9,7,108,3.441945846718678e-4,0.8669879149456937
å opprettholde,9,7,108,3.441945846718678e-4,0.8673321095303657
å pålegge,9,7,108,3.441945846718678e-4,0.8676763041150375
å referere,9,7,108,3.441945846718678e-4,0.8680204986997093
å straffe,9,7,108,3.441945846718678e-4,0.8683646932843813
å takle,9,7,108,3.441945846718678e-4,0.8687088878690531
å utvide,9,7,108,3.441945846718678e-4,0.8690530824537249
å arrestere,8,7,109,3.059507419305492e-4,0.8693590331956556
å bekymre,8,7,109,3.059507419305492e-4,0.8696649839375861
å betrakte,8,7,109,3.059507419305492e-4,0.8699709346795166
å dominere,8,7,109,3.059507419305492e-4,0.8702768854214471
å dyrke,8,7,109,3.059507419305492e-4,0.8705828361633777
å eksistere,8,7,109,3.059507419305492e-4,0.8708887869053082
å feste,8,7,109,3.059507419305492e-4,0.8711947376472388
å fordele,8,7,109,3.059507419305492e-4,0.8715006883891694
å forurense,8,7,109,3.059507419305492e-4,0.8718066391310999
å godta,8,7,109,3.059507419305492e-4,0.8721125898730304
å innhente,8,7,109,3.059507419305492e-4,0.872418540614961
å involvere,8,7,109,3.059507419305492e-4,0.8727244913568916
å kle,8,7,109,3.059507419305492e-4,0.8730304420988221
å klubbe,8,7,109,3.059507419305492e-4,0.8733363928407526
å kontrollere,8,7,109,3.059507419305492e-4,0.8736423435826832
å lansere,8,7,109,3.059507419305492e-4,0.8739482943246137
å leke,8,7,109,3.059507419305492e-4,0.8742542450665443
å mobbe,8,7,109,3.059507419305492e-4,0.8745601958084749
å nyte,8,7,109,3.059507419305492e-4,0.8748661465504054
å overraske,8,7,109,3.059507419305492e-4,0.8751720972923359
å pakke,8,7,109,3.059507419305492e-4,0.8754780480342665
å plage,8,7,109,3.059507419305492e-4,0.8757839987761971
å pleie,8,7,109,3.059507419305492e-4,0.8760899495181276
