lemma,freq,freq_class,rank,prop,cum_sum_prop
åpenbar,15,6,86,7.08114997875655e-4,0.6675636123306425
bevisst,15,6,86,7.08114997875655e-4,0.6682717273285181
borgerlig,15,6,86,7.08114997875655e-4,0.6689798423263938
dansk,15,6,86,7.08114997875655e-4,0.6696879573242694
effektiv,15,6,86,7.08114997875655e-4,0.6703960723221452
ekte,15,6,86,7.08114997875655e-4,0.6711041873200208
forpliktende,15,6,86,7.08114997875655e-4,0.6718123023178965
gratis,15,6,86,7.08114997875655e-4,0.6725204173157721
hyggelig,15,6,86,7.08114997875655e-4,0.6732285323136478
kontroversiell,15,6,86,7.08114997875655e-4,0.6739366473115234
langsiktig,15,6,86,7.08114997875655e-4,0.6746447623093991
rettferdig,15,6,86,7.08114997875655e-4,0.6753528773072747
solid,15,6,86,7.08114997875655e-4,0.6760609923051504
voldsom,15,6,86,7.08114997875655e-4,0.676769107303026
britisk,14,6,87,6.609073313506113e-4,0.6774300146343766
domfelle,14,6,87,6.609073313506113e-4,0.6780909219657272
frisk,14,6,87,6.609073313506113e-4,0.6787518292970779
lei,14,6,87,6.609073313506113e-4,0.6794127366284285
motsatt,14,6,87,6.609073313506113e-4,0.6800736439597791
ond,14,6,87,6.609073313506113e-4,0.6807345512911297
rettslig,14,6,87,6.609073313506113e-4,0.6813954586224803
russisk,14,6,87,6.609073313506113e-4,0.6820563659538309
sårbar,14,6,87,6.609073313506113e-4,0.6827172732851815
spennende,14,6,87,6.609073313506113e-4,0.6833781806165321
stille,14,6,87,6.609073313506113e-4,0.6840390879478827
tilstrekkelig,14,6,87,6.609073313506113e-4,0.6846999952792333
uskyldig,14,6,87,6.609073313506113e-4,0.6853609026105839
2.,13,6,88,6.136996648255676e-4,0.6859746022754095
drøy,13,6,88,6.136996648255676e-4,0.6865883019402351
flink,13,6,88,6.136996648255676e-4,0.6872020016050606
formell,13,6,88,6.136996648255676e-4,0.6878157012698862
grov,13,6,88,6.136996648255676e-4,0.6884294009347118
kjær,13,6,88,6.136996648255676e-4,0.6890431005995373
kommunal,13,6,88,6.136996648255676e-4,0.6896568002643629
muslimsk,13,6,88,6.136996648255676e-4,0.6902704999291885
nåværende,13,6,88,6.136996648255676e-4,0.690884199594014
overbevise,13,6,88,6.136996648255676e-4,0.6914978992588396
praktisk,13,6,88,6.136996648255676e-4,0.69211159892366525
republikansk,13,6,88,6.136996648255676e-4,0.6927252985884907
rimelig,13,6,88,6.136996648255676e-4,0.6933389982533164
skikkelig,13,6,88,6.136996648255676e-4,0.6939526979181418
stygg,13,6,88,6.136996648255676e-4,0.6945663975829675
uheldig,13,6,88,6.136996648255676e-4,0.6951800972477931
unik,13,6,88,6.136996648255676e-4,0.6957937969126186
vellykket,13,6,88,6.136996648255676e-4,0.6964074965774442
ansvarlig,12,6,89,5.66491998300524e-4,0.6969739885757447
blå,12,6,89,5.66491998300524e-4,0.6975404805740452
frede,12,6,89,5.66491998300524e-4,0.6981069725723458
gjeldende,12,6,89,5.66491998300524e-4,0.6986734645706463
grundig,12,6,89,5.66491998300524e-4,0.6992399565689468
indre,12,6,89,5.66491998300524e-4,0.6998064485672473
lignende,12,6,89,5.66491998300524e-4,0.7003729405655479
lykkelig,12,6,89,5.66491998300524e-4,0.7009394325638484
mangle,12,6,89,5.66491998300524e-4,0.7015059245621489
masse,12,6,89,5.66491998300524e-4,0.7020724165604494
medisinsk,12,6,89,5.66491998300524e-4,0.7026389085587499
moralsk,12,6,89,5.66491998300524e-4,0.7032054005570505
offisiell,12,6,89,5.66491998300524e-4,0.703771892555351
omstridt,12,6,89,5.66491998300524e-4,0.7043383845536515
pen,12,6,89,5.66491998300524e-4,0.704904876551952
særskilt,12,6,89,5.66491998300524e-4,0.7054713685502525
skarp,12,6,89,5.66491998300524e-4,0.7060378605485531
sliten,12,6,89,5.66491998300524e-4,0.7066043525468536
tilsynelatende,12,6,89,5.66491998300524e-4,0.7071708445451541
usikker,12,6,89,5.66491998300524e-4,0.7077373365434546
utsatt,12,6,89,5.66491998300524e-4,0.7083038285417552
varm,12,6,89,5.66491998300524e-4,0.7088703205400557
